Date,MONTHLY_TOTAL,MONTHLY_NORMAL_8110,MONTHLY_NORMAL_9120
4/1/2013,26.09,46.92,46.30
5/1/2013,14.09,35.18,37.62
6/1/2013,5.62,12.73,11.72
7/1/2013,2.51,6.73,3.38
8/1/2013,0.70,6.55,4.42
9/1/2013,30.60,23.77,24.36
10/1/2013,78.08,68.35,68.29
11/1/2013,13.63,81.78,84.12
12/1/2013,63.76,82.31,71.65
1/1/2014,146.40,62.59,62.17
2/1/2014,101.61,53.91,47.40
3/1/2014,30.68,42.26,48.00
4/1/2014,48.67,46.92,46.30
5/1/2014,23.29,35.18,37.62
6/1/2014,24.32,12.73,11.72
7/1/2014,3.86,6.73,3.38
8/1/2014,2.50,6.55,4.42
9/1/2014,62.14,23.77,24.36
10/1/2014,55.04,68.35,68.29
11/1/2014,137.42,81.78,84.12
12/1/2014,55.69,82.31,71.65
1/1/2015,49.23,62.59,62.17
2/1/2015,16.53,53.91,47.40
3/1/2015,19.24,42.26,48.00
4/1/2015,32.28,46.92,46.30
5/1/2015,2.75,35.18,37.62
6/1/2015,8.76,12.73,11.72
7/1/2015,1.08,6.73,3.38
8/1/2015,3.69,6.55,4.42
9/1/2015,3.96,23.77,24.36
10/1/2015,60.38,68.35,68.29
11/1/2015,22.31,81.78,84.12
12/1/2015,53.18,82.31,71.65
1/1/2016,80.13,62.59,62.17
2/1/2016,52.01,53.91,47.40
3/1/2016,18.93,42.26,48.00
4/1/2016,58.65,46.92,46.30
5/1/2016,141.56,35.18,37.62
6/1/2016,2.31,12.73,11.72
7/1/2016,2.30,6.73,3.38
8/1/2016,1.00,6.55,4.42
9/1/2016,18.14,23.77,24.36
10/1/2016,18.34,68.35,68.29
11/1/2016,120.51,81.78,84.12
12/1/2016,57.00,82.31,71.65
1/1/2017,30.73,62.59,62.17
2/1/2017,33.79,53.91,47.40
3/1/2017,75.24,42.26,48.00
4/1/2017,6.42,46.92,46.30
5/1/2017,36.06,35.18,37.62
6/1/2017,6.41,12.73,11.72
7/1/2017,3.62,6.73,3.38
8/1/2017,1.76,6.55,4.42
9/1/2017,1.70,23.77,24.36
10/1/2017,25.39,68.35,68.29
11/1/2017,63.95,81.78,84.12
12/1/2017,40.29,82.31,71.65
1/1/2018,56.38,62.59,62.17
2/1/2018,43.13,53.91,47.40
3/1/2018,142.57,42.26,48.00
4/1/2018,61.65,46.92,46.30
5/1/2018,13.54,35.18,37.62
6/1/2018,30.37,12.73,11.72
7/1/2018,6.22,6.73,3.38
8/1/2018,0.38,6.55,4.42
9/1/2018,6.16,23.77,24.36
10/1/2018,37.00,68.35,68.29
11/1/2018,132.31,81.78,84.12
12/1/2018,17.12,82.31,71.65
1/1/2019,28.71,62.59,62.17
2/1/2019,26.70,53.91,47.40
3/1/2019,15.48,42.26,48.00
4/1/2019,67.68,46.92,46.30
5/1/2019,4.88,35.18,37.62
6/1/2019,5.01,12.73,11.72
7/1/2019,7.33,6.73,3.38
8/1/2019,2.59,6.55,4.42
9/1/2019,10.69,23.77,24.36
10/1/2019,25.23,68.35,68.29
11/1/2019,56.08,81.78,84.12
12/1/2019,89.28,82.31,71.65
1/1/2020,54.06,62.59,62.17
2/1/2020,10.57,53.91,47.40
3/1/2020,35.04,42.26,48.00
4/1/2020,85.10,46.92,46.30
5/1/2020,45.96,35.18,37.62
6/1/2020,4.18,12.73,11.72
7/1/2020,0.64,6.73,3.38
8/1/2020,4.44,6.55,4.42
9/1/2020,16.18,23.77,24.36
10/1/2020,46.74,68.35,68.29
11/1/2020,88.39,81.78,84.12
12/1/2020,86.39,82.31,71.65
1/1/2021,29.37,62.59,62.17
2/1/2021,92.83,53.91,47.40
